epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5972,1.1406,3.67298,1.37325,0.01169,0.94706,0.24162,0.1724,0.83559,3.96791,1.19897,0.000319444,0.000319444,0.000319444
2,30.2179,1.20882,3.10839,1.38098,0.47106,0.07272,0.28382,0.16994,1.11325,3.81328,1.36469,0.000639853,0.000639853,0.000639853
3,36.3453,1.25036,2.66784,1.40812,0.46746,0.26182,0.29623,0.17282,1.32899,3.8274,1.52271,0.000947061,0.000947061,0.000947061
4,42.8845,1.32198,2.47541,1.44268,0.4297,0.40997,0.41396,0.25701,1.37618,3.5101,1.65775,0.0009406,0.0009406,0.0009406
5,49.5143,1.25826,2.16374,1.35008,0.48896,0.4358,0.44001,0.25135,1.78818,3.43854,1.96126,0.0009208,0.0009208,0.0009208
6,55.7622,1.18565,1.92566,1.32118,0.74213,0.58291,0.77814,0.50792,1.20745,2.48011,1.48611,0.000901,0.000901,0.000901
7,62.4397,1.1641,1.79466,1.30189,0.72992,0.61594,0.74346,0.50933,1.15136,2.37634,1.36142,0.0008812,0.0008812,0.0008812
8,68.8736,1.17283,1.67574,1.27656,0.89886,0.66963,0.84888,0.58732,1.05633,2.14395,1.31468,0.0008614,0.0008614,0.0008614
9,75.2379,1.12784,1.61015,1.28207,0.82091,0.69239,0.79282,0.54255,1.16059,2.21488,1.38724,0.0008416,0.0008416,0.0008416
10,81.1751,1.14888,1.56501,1.30279,0.55009,0.66264,0.6326,0.46124,1.11533,2.70215,1.38869,0.0008218,0.0008218,0.0008218
11,87.1553,1.17084,1.5036,1.29705,0.71551,0.81871,0.88649,0.59672,1.07284,2.04253,1.33221,0.000802,0.000802,0.000802
12,93.0694,1.07489,1.38179,1.23012,0.76224,0.76872,0.81768,0.56414,1.0529,2.00755,1.31806,0.0007822,0.0007822,0.0007822
13,99.7641,1.09879,1.33998,1.21984,0.79905,0.77264,0.86701,0.58484,1.12388,1.87249,1.34417,0.0007624,0.0007624,0.0007624
14,105.562,1.09568,1.31271,1.25554,0.83771,0.87093,0.91816,0.64027,1.041,1.61175,1.26628,0.0007426,0.0007426,0.0007426
15,111.475,1.04527,1.28229,1.23939,0.81999,0.90072,0.88152,0.63261,1.00395,1.57043,1.23747,0.0007228,0.0007228,0.0007228
16,117.055,1.03318,1.17843,1.21539,0.86036,0.82316,0.88667,0.62861,1.07712,1.56631,1.29095,0.000703,0.000703,0.000703
17,122.644,1.02231,1.12658,1.19356,0.81468,0.84585,0.90225,0.61998,1.02601,1.44652,1.27114,0.0006832,0.0006832,0.0006832
18,128.095,1.05934,1.11326,1.2146,0.84208,0.89046,0.94953,0.64967,1.03879,1.31793,1.25891,0.0006634,0.0006634,0.0006634
