epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.6063,1.09851,3.33281,1.29626,0.29434,0.47082,0.36278,0.26687,0.96124,2.88481,1.23947,0.000254197,0.000254197,0.000254197
2,57.0772,1.11923,2.16693,1.31092,0.65707,0.71036,0.7749,0.57934,1.02145,2.20411,1.31302,0.000505476,0.000505476,0.000505476
3,74.5061,1.10838,1.62861,1.26719,0.83602,0.74768,0.83709,0.61158,1.03527,1.8468,1.30829,0.00075168,0.00075168,0.00075168
4,91.788,1.10107,1.41135,1.26491,0.90874,0.82208,0.91658,0.69298,0.95001,1.56421,1.18349,0.000746161,0.000746161,0.000746161
5,109.286,1.07153,1.26516,1.22012,0.83711,0.82675,0.91064,0.68295,1.03797,1.41423,1.23791,0.000738548,0.000738548,0.000738548
6,126.589,1.05526,1.21565,1.22163,0.83952,0.78542,0.87703,0.64546,1.01043,1.51567,1.20573,0.000730935,0.000730935,0.000730935
7,143.681,1.04928,1.1332,1.21023,0.84418,0.87352,0.9051,0.67446,1.0218,1.45611,1.23384,0.000723321,0.000723321,0.000723321
8,159.874,1.05361,1.08892,1.21267,0.92303,0.9234,0.95522,0.72126,0.95086,1.11343,1.13986,0.000715708,0.000715708,0.000715708
9,177.445,1.00386,1.01685,1.18233,0.9231,0.88826,0.95289,0.72504,0.95323,1.05334,1.15377,0.000708095,0.000708095,0.000708095
10,195.22,1.0173,1.01717,1.18456,0.91725,0.91475,0.95033,0.73803,0.89247,0.96337,1.12162,0.000700482,0.000700482,0.000700482
11,212.678,0.97737,0.92166,1.16242,0.92841,0.92863,0.96132,0.73146,0.93084,0.93222,1.14027,0.000692869,0.000692869,0.000692869
12,231.009,0.97737,0.91313,1.16783,0.92144,0.89988,0.95344,0.72766,0.95205,0.96413,1.16261,0.000685256,0.000685256,0.000685256
13,248.547,0.98078,0.87703,1.16906,0.89383,0.95087,0.95701,0.73651,0.88933,0.86692,1.10875,0.000677643,0.000677643,0.000677643
14,266.118,0.97331,0.84732,1.15323,0.91438,0.91056,0.95424,0.73785,0.89211,0.91589,1.0976,0.00067003,0.00067003,0.00067003
15,283.993,0.9509,0.80476,1.14354,0.95396,0.92965,0.96984,0.72825,0.9443,0.77544,1.114,0.000662417,0.000662417,0.000662417
16,301.343,0.9726,0.80653,1.15688,0.95851,0.9261,0.96858,0.74616,0.91506,0.74989,1.11783,0.000654804,0.000654804,0.000654804
17,318.88,0.94921,0.79019,1.14742,0.94776,0.93548,0.96462,0.74477,0.92167,0.7218,1.11532,0.00064719,0.00064719,0.00064719
18,336.107,0.95269,0.76814,1.13987,0.92751,0.9417,0.95535,0.74258,0.93102,0.7217,1.13518,0.000639577,0.000639577,0.000639577
19,354.296,0.92786,0.73965,1.13538,0.93858,0.93946,0.96616,0.74878,0.94127,0.68243,1.15432,0.000631964,0.000631964,0.000631964
20,372.682,0.92142,0.73984,1.13494,0.94712,0.94456,0.96641,0.7411,0.90421,0.66236,1.13098,0.000624351,0.000624351,0.000624351
